algo,arch,m,k,n,meta_block_sz,block_sz,nn_row,mm_col,density,bm,bn,bk,wm,wn,wk,mm,mn,mk,nstage,spmm_time,gemm_time,speedup,error
2,sm_86,1024,1024,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.121423,0.20457,1.68477,0
2,sm_86,1024,1024,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,2,0.130202,0.204581,1.57126,0
2,sm_86,1024,1024,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,3,0.134536,0.20456,1.52049,0
2,sm_86,1024,1024,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,4,0.137051,0.204536,1.49241,0
2,sm_86,4096,1024,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.344114,0.630033,1.83089,0
2,sm_86,4096,1024,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.365449,0.630008,1.72393,0
2,sm_86,4096,1024,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.414534,0.629986,1.51974,0
2,sm_86,4096,1024,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,2,0.477829,0.630025,1.31852,0
2,sm_86,4096,1024,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,3,0.482624,0.629977,1.30531,0
2,sm_86,4096,1024,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,4,0.508481,0.630051,1.23908,0
2,sm_86,1024,4096,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.41351,0.674189,1.6304,0
2,sm_86,1024,4096,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.421212,0.674198,1.60062,0
2,sm_86,1024,4096,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.457348,0.674177,1.4741,0
2,sm_86,1024,4096,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,2,0.533397,0.674185,1.26395,0
2,sm_86,1024,4096,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,3,0.510211,0.674247,1.32151,0
2,sm_86,1024,4096,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,4,0.51813,0.674219,1.30125,0
2,sm_86,768,768,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.115483,0.199167,1.72464,0
2,sm_86,768,768,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.119286,0.199239,1.67027,0
2,sm_86,768,768,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.132888,0.199122,1.49842,0
2,sm_86,768,768,8192,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,2,0.144957,0.199146,1.37383,0
2,sm_86,768,768,8192,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,3,0.14749,0.199223,1.35076,0
2,sm_86,768,768,8192,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,4,0.15257,0.199161,1.30537,0
2,sm_86,3072,768,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.393557,0.696588,1.76998,0
2,sm_86,3072,768,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.416476,0.696631,1.67268,0
2,sm_86,3072,768,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.477374,0.696641,1.45932,0
2,sm_86,3072,768,8192,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,2,0.52956,0.696645,1.31552,0
