algo,arch,m,k,n,meta_block_sz,block_sz,nn_row,mm_row,density,bm,bn,bk,wm,wn,wk,mm,mn,mk,nstage,spmm_time,gemm_time,speedup,error
4,sm_86,1024,4096,4096,32,4,2,40,0.5,128,64,32,32,64,32,16,8,32,4,0.0609418,0.675866,11.0904,0
4,sm_86,1024,4096,4096,32,4,2,40,0.5,128,64,32,128,64,32,16,8,32,2,0.180271,0.675932,3.74953,0
4,sm_86,1024,4096,4096,32,4,2,40,0.5,128,64,32,128,64,32,16,8,32,3,0.174504,0.675658,3.87189,0
4,sm_86,1024,4096,4096,32,4,2,40,0.5,128,64,32,128,64,32,16,8,32,4,0.202255,0.674805,3.3364,0
4,sm_86,1024,4096,4096,32,4,2,40,0.5,128,64,32,64,64,32,16,8,32,2,0.0615235,0.674131,10.9573,0
4,sm_86,1024,4096,4096,32,4,2,40,0.5,128,64,32,64,64,32,16,8,32,3,0.0685267,0.675661,9.85982,0
4,sm_86,1024,4096,4096,32,4,2,40,0.5,128,64,32,64,64,32,16,8,32,4,0.08656,0.67577,7.80696,0
4,sm_86,1024,4096,4096,32,4,2,40,0.5,32,64,32,32,64,32,16,8,32,2,0.0930701,0.675483,7.25779,0
4,sm_86,1024,4096,4096,32,4,2,40,0.5,32,64,32,32,64,32,16,8,32,3,0.0958144,0.67494,7.04425,0
4,sm_86,1024,4096,4096,32,4,2,40,0.5,32,64,32,32,64,32,16,8,32,4,0.117087,0.674096,5.75724,0
4,sm_86,1024,4096,4096,32,4,2,100,0.5,64,64,32,32,64,32,16,8,32,2,0.0401078,0.674081,16.8067,0
4,sm_86,1024,4096,4096,32,4,2,100,0.5,64,64,32,32,64,32,16,8,32,3,0.0442966,0.675692,15.2538,0
4,sm_86,1024,4096,4096,32,4,2,100,0.5,64,64,32,32,64,32,16,8,32,4,0.0453434,0.675849,14.9051,0
4,sm_86,1024,4096,4096,32,4,2,100,0.5,64,64,32,64,64,32,16,8,32,2,0.0446448,0.675012,15.1196,0
4,sm_86,1024,4096,4096,32,4,2,100,0.5,64,64,32,64,64,32,16,8,32,3,0.0550362,0.674071,12.2478,0
4,sm_86,1024,4096,4096,32,4,2,100,0.5,64,64,32,64,64,32,16,8,32,4,0.0662902,0.674097,10.1689,0
4,sm_86,1024,4096,4096,32,4,2,100,0.5,128,64,32,32,64,32,16,8,32,2,0.0337386,0.67406,19.9789,0
4,sm_86,1024,4096,4096,32,4,2,100,0.5,128,64,32,32,64,32,16,8,32,3,0.0348323,0.674069,19.3518,0
4,sm_86,1024,4096,4096,32,4,2,100,0.5,128,64,32,32,64,32,16,8,32,4,0.0391501,0.67405,17.2171,0
4,sm_86,1024,4096,4096,32,4,2,100,0.5,128,64,32,128,64,32,16,8,32,2,0.0951587,0.674075,7.08369,0
4,sm_86,1024,4096,4096,32,4,2,100,0.5,128,64,32,128,64,32,16,8,32,3,0.0964816,0.675228,6.99852,0
4,sm_86,1024,4096,4096,32,4,2,100,0.5,128,64,32,128,64,32,16,8,32,4,0.11199,0.675194,6.02903,0
4,sm_86,1024,4096,4096,32,4,2,100,0.5,128,64,32,64,64,32,16,8,32,2,0.0368947,0.675392,18.3059,0
4,sm_86,1024,4096,4096,32,4,2,100,0.5,128,64,32,64,64,32,16,8,32,3,0.0402646,0.674073,16.7411,0
4,sm_86,1024,4096,4096,32,4,2,100,0.5,128,64,32,64,64,32,16,8,32,4,0.0507456,0.674061,13.2831,0
4,sm_86,1024,4096,4096,32,4,2,100,0.5,32,64,32,32,64,32,16,8,32,2,0.0560365,0.67601,12.0637,0
4,sm_86,1024,4096,4096,32,4,2,100,0.5,32,64,32,32,64,32,16,8,32,3,0.0555869,0.674114,12.1272,0
4,sm_86,1024,4096,4096,32,4,2,100,0.5,32,64,32,32,64,32,16,8,32,4,0.0672992,0.675968,10.0442,0
2,sm_86,1024,4096,4096,32,4,2,7,0.5,64,64,32,32,64,32,16,8,32,2,0.294061,0.67418,2.29265,0
2,sm_86,1024,4096,4096,32,4,2,7,0.5,64,64,32,32,64,32,16,8,32,3,0.304001,0.674134,2.21754,0
2,sm_86,1024,4096,4096,32,4,2,7,0.5,64,64,32,32,64,32,16,8,32,4,0.323405,0.674139,2.0845,0
2,sm_86,1024,4096,4096,32,4,2,7,0.5,64,64,32,64,64,32,16,8,32,2,0.356527,0.674106,1.89076,0
2,sm_86,1024,4096,4096,32,4,2,7,0.5,64,64,32,64,64,32,16,8,32,3,0.437744,0.674124,1.53999,0
2,sm_86,1024,4096,4096,32,4,2,7,0.5,64,64,32,64,64,32,16,8,32,4,0.546907,0.674138,1.23264,0
2,sm_86,1024,4096,4096,32,4,2,7,0.5,128,64,32,32,64,32,16,8,32,2,0.241588,0.67418,2.79061,0
2,sm_86,1024,4096,4096,32,4,2,7,0.5,128,64,32,32,64,32,16,8,32,3,0.257441,0.676262,2.62686,0
2,sm_86,1024,4096,4096,32,4,2,7,0.5,128,64,32,32,64,32,16,8,32,4,0.289911,0.674103,2.3252,0
2,sm_86,1024,4096,4096,32,4,2,7,0.5,128,64,32,128,64,32,16,8,32,2,1.12509,0.675965,0.600808,0
2,sm_86,1024,4096,4096,32,4,2,7,0.5,128,64,32,128,64,32,16,8,32,3,0.921236,0.674138,0.731776,0
2,sm_86,1024,4096,4096,32,4,2,7,0.5,128,64,32,128,64,32,16,8,32,4,1.04446,0.675277,0.646531,0
2,sm_86,1024,4096,4096,32,4,2,7,0.5,128,64,32,64,64,32,16,8,32,2,0.284582,0.674112,2.36878,0
2,sm_86,1024,4096,4096,32,4,2,7,0.5,128,64,32,64,64,32,16,8,32,3,0.320523,0.674106,2.10314,0
2,sm_86,1024,4096,4096,32,4,2,7,0.5,128,64,32,64,64,32,16,8,32,4,0.396634,0.674132,1.69963,0
2,sm_86,1024,4096,4096,32,4,2,7,0.5,32,64,32,32,64,32,16,8,32,2,0.497064,0.674134,1.35623,0
2,sm_86,1024,4096,4096,32,4,2,7,0.5,32,64,32,32,64,32,16,8,32,3,0.469888,0.674121,1.43464,0
2,sm_86,1024,4096,4096,32,4,2,7,0.5,32,64,32,32,64,32,16,8,32,4,0.528693,0.674151,1.27513,0
2,sm_86,1024,4096,4096,32,4,2,8,0.5,64,64,32,32,64,32,16,8,32,2,0.250749,0.674136,2.68849,0
2,sm_86,1024,4096,4096,32,4,2,8,0.5,64,64,32,32,64,32,16,8,32,3,0.262372,0.67518,2.57337,0
2,sm_86,1024,4096,4096,32,4,2,8,0.5,64,64,32,32,64,32,16,8,32,4,0.281484,0.674133,2.39492,0
2,sm_86,1024,4096,4096,32,4,2,8,0.5,64,64,32,64,64,32,16,8,32,2,0.310409,0.677172,2.18155,0
2,sm_86,1024,4096,4096,32,4,2,8,0.5,64,64,32,64,64,32,16,8,32,3,0.378709,0.674171,1.78018,0
2,sm_86,1024,4096,4096,32,4,2,8,0.5,64,64,32,64,64,32,16,8,32,4,0.473043,0.674184,1.42521,0
2,sm_86,1024,4096,4096,32,4,2,8,0.5,128,64,32,32,64,32,16,8,32,2,0.209227,0.67417,3.22219,0
2,sm_86,1024,4096,4096,32,4,2,8,0.5,128,64,32,32,64,32,16,8,32,3,0.223157,0.67411,3.02079,0
2,sm_86,1024,4096,4096,32,4,2,8,0.5,128,64,32,32,64,32,16,8,32,4,0.251724,0.674107,2.67796,0
2,sm_86,1024,4096,4096,32,4,2,8,0.5,128,64,32,128,64,32,16,8,32,2,0.972188,0.674094,0.693379,0
2,sm_86,1024,4096,4096,32,4,2,8,0.5,128,64,32,128,64,32,16,8,32,3,0.801831,0.674106,0.840708,0
2,sm_86,1024,4096,4096,32,4,2,8,0.5,128,64,32,128,64,32,16,8,32,4,0.906465,0.674103,0.743661,0
2,sm_86,1024,4096,4096,32,4,2,8,0.5,128,64,32,64,64,32,16,8,32,2,0.246433,0.674114,2.73548,0
2,sm_86,1024,4096,4096,32,4,2,8,0.5,128,64,32,64,64,32,16,8,32,3,0.277486,0.67416,2.42953,0
2,sm_86,1024,4096,4096,32,4,2,8,0.5,128,64,32,64,64,32,16,8,32,4,0.344966,0.67411,1.95414,0
2,sm_86,1024,4096,4096,32,4,2,8,0.5,32,64,32,32,64,32,16,8,32,2,0.429321,0.674142,1.57025,0
2,sm_86,1024,4096,4096,32,4,2,8,0.5,32,64,32,32,64,32,16,8,32,3,0.404442,0.676032,1.67152,0
2,sm_86,1024,4096,4096,32,4,2,8,0.5,32,64,32,32,64,32,16,8,32,4,0.459509,0.674122,1.46705,0
2,sm_86,1024,4096,4096,32,4,2,10,0.5,64,64,32,32,64,32,16,8,32,2,0.214302,0.675236,3.15086,0
2,sm_86,1024,4096,4096,32,4,2,10,0.5,64,64,32,32,64,32,16,8,32,3,0.219086,0.676078,3.08591,0
2,sm_86,1024,4096,4096,32,4,2,10,0.5,64,64,32,32,64,32,16,8,32,4,0.232979,0.676025,2.90166,0
2,sm_86,1024,4096,4096,32,4,2,10,0.5,64,64,32,64,64,32,16,8,32,2,0.254526,0.674146,2.64864,0
2,sm_86,1024,4096,4096,32,4,2,10,0.5,64,64,32,64,64,32,16,8,32,3,0.310681,0.674154,2.16992,0
2,sm_86,1024,4096,4096,32,4,2,10,0.5,64,64,32,64,64,32,16,8,32,4,0.389945,0.674184,1.72892,0
2,sm_86,1024,4096,4096,32,4,2,10,0.5,128,64,32,32,64,32,16,8,32,2,0.174432,0.67594,3.87509,0
2,sm_86,1024,4096,4096,32,4,2,10,0.5,128,64,32,32,64,32,16,8,32,3,0.185497,0.675213,3.64001,0
2,sm_86,1024,4096,4096,32,4,2,10,0.5,128,64,32,32,64,32,16,8,32,4,0.207807,0.674195,3.24433,0
2,sm_86,1024,4096,4096,32,4,2,10,0.5,128,64,32,128,64,32,16,8,32,2,0.791191,0.674169,0.852093,0
2,sm_86,1024,4096,4096,32,4,2,10,0.5,128,64,32,128,64,32,16,8,32,3,0.65784,0.674898,1.02593,0
2,sm_86,1024,4096,4096,32,4,2,10,0.5,128,64,32,128,64,32,16,8,32,4,0.742135,0.674169,0.908419,0
2,sm_86,1024,4096,4096,32,4,2,10,0.5,128,64,32,64,64,32,16,8,32,2,0.204081,0.675187,3.30843,0
2,sm_86,1024,4096,4096,32,4,2,10,0.5,128,64,32,64,64,32,16,8,32,3,0.228404,0.674125,2.95146,0
2,sm_86,1024,4096,4096,32,4,2,10,0.5,128,64,32,64,64,32,16,8,32,4,0.283131,0.674162,2.38109,0
2,sm_86,1024,4096,4096,32,4,2,10,0.5,32,64,32,32,64,32,16,8,32,2,0.351616,0.674169,1.91735,0
2,sm_86,1024,4096,4096,32,4,2,10,0.5,32,64,32,32,64,32,16,8,32,3,0.335769,0.674152,2.00779,0
2,sm_86,1024,4096,4096,32,4,2,10,0.5,32,64,32,32,64,32,16,8,32,4,0.379721,0.674153,1.77539,0
2,sm_86,1024,4096,4096,32,4,2,20,0.5,64,64,32,32,64,32,16,8,32,2,0.105607,0.674658,6.3884,0
2,sm_86,1024,4096,4096,32,4,2,20,0.5,64,64,32,32,64,32,16,8,32,3,0.111203,0.674157,6.06239,0
2,sm_86,1024,4096,4096,32,4,2,20,0.5,64,64,32,32,64,32,16,8,32,4,0.123383,0.674127,5.46371,0
2,sm_86,1024,4096,4096,32,4,2,20,0.5,64,64,32,64,64,32,16,8,32,2,0.133252,0.674181,5.05944,0
2,sm_86,1024,4096,4096,32,4,2,20,0.5,64,64,32,64,64,32,16,8,32,3,0.164242,0.674154,4.10464,0
2,sm_86,1024,4096,4096,32,4,2,20,0.5,64,64,32,64,64,32,16,8,32,4,0.20433,0.676164,3.30918,0
2,sm_86,1024,4096,4096,32,4,2,20,0.5,128,64,32,32,64,32,16,8,32,2,0.0906883,0.674197,7.43423,0
2,sm_86,1024,4096,4096,32,4,2,20,0.5,128,64,32,32,64,32,16,8,32,3,0.0976682,0.674184,6.90281,0
2,sm_86,1024,4096,4096,32,4,2,20,0.5,128,64,32,32,64,32,16,8,32,4,0.110382,0.674134,6.1073,0
2,sm_86,1024,4096,4096,32,4,2,20,0.5,128,64,32,128,64,32,16,8,32,2,0.394671,0.674191,1.70823,0
2,sm_86,1024,4096,4096,32,4,2,20,0.5,128,64,32,128,64,32,16,8,32,3,0.341852,0.674086,1.97186,0
2,sm_86,1024,4096,4096,32,4,2,20,0.5,128,64,32,128,64,32,16,8,32,4,0.383021,0.674129,1.76003,0
2,sm_86,1024,4096,4096,32,4,2,20,0.5,128,64,32,64,64,32,16,8,32,2,0.106305,0.678987,6.38714,0
2,sm_86,1024,4096,4096,32,4,2,20,0.5,128,64,32,64,64,32,16,8,32,3,0.119528,0.675107,5.6481,0
2,sm_86,1024,4096,4096,32,4,2,20,0.5,128,64,32,64,64,32,16,8,32,4,0.14878,0.676263,4.5454,0
2,sm_86,1024,4096,4096,32,4,2,20,0.5,32,64,32,32,64,32,16,8,32,2,0.17523,0.674191,3.84747,0
2,sm_86,1024,4096,4096,32,4,2,20,0.5,32,64,32,32,64,32,16,8,32,3,0.172928,0.674172,3.89857,0
2,sm_86,1024,4096,4096,32,4,2,20,0.5,32,64,32,32,64,32,16,8,32,4,0.205296,0.675661,3.29116,0
2,sm_86,1024,4096,4096,32,4,2,40,0.5,64,64,32,32,64,32,16,8,32,2,0.0587786,0.675104,11.4855,0
2,sm_86,1024,4096,4096,32,4,2,40,0.5,64,64,32,32,64,32,16,8,32,3,0.0653754,0.675186,10.3278,0
2,sm_86,1024,4096,4096,32,4,2,40,0.5,64,64,32,32,64,32,16,8,32,4,0.0721168,0.674565,9.35379,0
2,sm_86,1024,4096,4096,32,4,2,40,0.5,64,64,32,64,64,32,16,8,32,2,0.0731677,0.674153,9.2138,0
2,sm_86,1024,4096,4096,32,4,2,40,0.5,64,64,32,64,64,32,16,8,32,3,0.0901501,0.674079,7.4773,0
2,sm_86,1024,4096,4096,32,4,2,40,0.5,64,64,32,64,64,32,16,8,32,4,0.110292,0.674136,6.11226,0
2,sm_86,1024,4096,4096,32,4,2,40,0.5,128,64,32,32,64,32,16,8,32,2,0.0499866,0.67413,13.4862,0
2,sm_86,1024,4096,4096,32,4,2,40,0.5,128,64,32,32,64,32,16,8,32,3,0.0542678,0.675557,12.4486,0
2,sm_86,1024,4096,4096,32,4,2,40,0.5,128,64,32,32,64,32,16,8,32,4,0.0618451,0.674109,10.9,0
2,sm_86,1024,4096,4096,32,4,2,40,0.5,128,64,32,128,64,32,16,8,32,2,0.207266,0.674118,3.25243,0
2,sm_86,1024,4096,4096,32,4,2,40,0.5,128,64,32,128,64,32,16,8,32,3,0.184205,0.67586,3.66907,0
